INSERT INTO `shangpinxinxi` (`id`, `addtime`, `shangpinmingcheng`, `shangpinfenlei`, `tupian`, `biaoqian`, `pinpai`, `shangpinxiangqing`, `clicktime`, `clicknum`, `price`) VALUES
(1,'2024-08-31 20:00:00','Guild D-140CE ATB缺角电箱全单木吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/acousticguitar/Guild D-140CE ATB缺角电箱全单木吉他.jpg','acousticguitar','Guild','Guild D-140CE ATB缺角电箱全单木吉他','2024-08-31 20:00:00',1,42397.92),
(2,'2024-08-31 20:00:00','Guild D-140CE缺角电箱全单木吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/acousticguitar/Guild D-140CE缺角电箱全单木吉他.jpg','acousticguitar','Guild','Guild D-140CE缺角电箱全单木吉他','2024-08-31 20:00:00',1,25302.56),
(3,'2024-08-31 20:00:00','Guild D-140全单木吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/acousticguitar/Guild D-140全单木吉他.jpg','acousticguitar','Guild','Guild D-140全单木吉他','2024-08-31 20:00:00',1,40738.92),
(4,'2024-08-31 20:00:00','Guild D-150CE缺角电箱全单木吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/acousticguitar/Guild D-150CE缺角电箱全单木吉他.jpg','acousticguitar','Guild','Guild D-150CE缺角电箱全单木吉他','2024-08-31 20:00:00',1,82121.15),
(5,'2024-08-31 20:00:00','Guild D-260CE Deluxe缺角电箱面单木吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/acousticguitar/Guild D-260CE Deluxe缺角电箱面单木吉他.jpg','acousticguitar','Guild','Guild D-260CE Deluxe缺角电箱面单木吉他','2024-08-31 20:00:00',1,22779.03),
(6,'2024-08-31 20:00:00','Guild D-340E电箱面单木吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/acousticguitar/Guild D-340E电箱面单木吉他.jpg','acousticguitar','Guild','Guild D-340E电箱面单木吉他','2024-08-31 20:00:00',1,86128.91),
(7,'2024-08-31 20:00:00','Guild D-340面单木吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/acousticguitar/Guild D-340面单木吉他.jpg','acousticguitar','Guild','Guild D-340面单木吉他','2024-08-31 20:00:00',1,49438.59),
(8,'2024-08-31 20:00:00','Guild DS-240面单木吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/acousticguitar/Guild DS-240面单木吉他.jpg','acousticguitar','Guild','Guild DS-240面单木吉他','2024-08-31 20:00:00',1,12254.67),
(9,'2024-08-31 20:00:00','Guild F-250E Deluxe ATB电箱面单木吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/acousticguitar/Guild F-250E Deluxe ATB电箱面单木吉他.jpg','acousticguitar','Guild','Guild F-250E Deluxe ATB电箱面单木吉他','2024-08-31 20:00:00',1,55349.96),
(10,'2024-08-31 20:00:00','Guild Jumbo Junior火焰枫木旅行面单木吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/acousticguitar/Guild Jumbo Junior火焰枫木旅行面单木吉他.jpg','acousticguitar','Guild','Guild Jumbo Junior火焰枫木旅行面单木吉他','2024-08-31 20:00:00',1,26946.94),
(11,'2024-08-31 20:00:00','Guild M-140全面木吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/acousticguitar/Guild M-140全面木吉他.jpg','acousticguitar','Guild','Guild M-140全面木吉他','2024-08-31 20:00:00',1,15678.2),
(12,'2024-08-31 20:00:00','Guild OM-120全单木吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/acousticguitar/Guild OM-120全单木吉他.jpg','acousticguitar','Guild','Guild OM-120全单木吉他','2024-08-31 20:00:00',1,38667.1),
(13,'2024-08-31 20:00:00','Guild OM-320面单木吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/acousticguitar/Guild OM-320面单木吉他.jpg','acousticguitar','Guild','Guild OM-320面单木吉他','2024-08-31 20:00:00',1,74769.2),
(14,'2024-08-31 20:00:00','Guild OM-340CE缺角电箱面单木吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/acousticguitar/Guild OM-340CE缺角电箱面单木吉他.jpg','acousticguitar','Guild','Guild OM-340CE缺角电箱面单木吉他','2024-08-31 20:00:00',1,14085.24),
(15,'2024-08-31 20:00:00','Guild OM-340面单木吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/acousticguitar/Guild OM-340面单木吉他.jpg','acousticguitar','Guild','Guild OM-340面单木吉他','2024-08-31 20:00:00',1,86848.82),
(16,'2024-08-31 20:00:00','Guild x Bob Marley A-20面单木吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/acousticguitar/Guild x Bob Marley A-20面单木吉他.jpg','acousticguitar','Guild','Guild x Bob Marley A-20面单木吉他','2024-08-31 20:00:00',1,67065.51),
(17,'2024-08-31 20:00:00','Guild美产 M-25E California Burst木吉他连袋盒','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/acousticguitar/Guild美产 M-25E California Burst木吉他连袋盒.jpg','acousticguitar','Guild美产','Guild美产 M-25E California Burst木吉他连袋盒','2024-08-31 20:00:00',1,13600.22),
(18,'2024-08-31 20:00:00','Guild美产D-40E电箱全单木吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/acousticguitar/Guild美产D-40E电箱全单木吉他.jpg','acousticguitar','Guild美产D-40E电箱全单木吉他.jpg','Guild美产D-40E电箱全单木吉他','2024-08-31 20:00:00',1,48720.41),
(19,'2024-08-31 20:00:00','WST PD20S面单木吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/acousticguitar/WST PD20S面单木吉他.jpg','acousticguitar','WST','WST PD20S面单木吉他','2024-08-31 20:00:00',1,3119.2),
(20,'2024-08-31 20:00:00','WST PG20SCE 缺角电箱面单木吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/acousticguitar/WST PG20SCE 缺角电箱面单木吉他.jpg','acousticguitar','WST','WST PG20SCE 缺角电箱面单木吉他','2024-08-31 20:00:00',1,28807.12),
(21,'2024-08-31 20:00:00','Cordoba C1M 古典吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/classicalguitar/Cordoba C1M 古典吉他.jpg','classicalguitar','Cordoba','Cordoba C1M 古典吉他','2024-08-31 20:00:00',1,14866.65),
(22,'2024-08-31 20:00:00','Cordoba C5 SP 面单古典吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/classicalguitar/Cordoba C5 SP 面单古典吉他.jpg','classicalguitar','Cordoba','Cordoba C5 SP 面单古典吉他','2024-08-31 20:00:00',1,88818.06),
(23,'2024-08-31 20:00:00','Cordoba C7 面单古典吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/classicalguitar/Cordoba C7 面单古典吉他.jpg','classicalguitar','Cordoba','Cordoba C7 面单古典吉他','2024-08-31 20:00:00',1,47435.32),
(24,'2024-08-31 20:00:00','Cordoba Coco Authentic Hand-built Replica限量版吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/classicalguitar/Cordoba Coco Authentic Hand-built Replica限量版吉他.jpg','classicalguitar','Cordoba','Cordoba Coco Authentic Hand-built Replica限量版吉他','2024-08-31 20:00:00',1,70468.27),
(25,'2024-08-31 20:00:00','Cordoba Fusion 12 Maple跨界缺角电箱面单尼龙吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/classicalguitar/Cordoba Fusion 12 Maple跨界缺角电箱面单尼龙吉他.jpg','classicalguitar','Cordoba','Cordoba Fusion 12 Maple跨界缺角电箱面单尼龙吉他','2024-08-31 20:00:00',1,22161.66),
(26,'2024-08-31 20:00:00','Cordoba Fusion 5 Limited Bocote跨界系列缺角电箱面单尼龙吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/classicalguitar/Cordoba Fusion 5 Limited Bocote跨界系列缺角电箱面单尼龙吉他.jpg','classicalguitar','Cordoba','Cordoba Fusion 5 Limited Bocote跨界系列缺角电箱面单尼龙吉他','2024-08-31 20:00:00',1,32755.56),
(27,'2024-08-31 20:00:00','Cordoba GK Pro Negra 缺角电箱全单弗朗明哥尼龙吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/classicalguitar/Cordoba GK Pro Negra 缺角电箱全单弗朗明哥尼龙吉他.jpg','classicalguitar','Cordoba','Cordoba GK Pro Negra 缺角电箱全单弗朗明哥尼龙吉他','2024-08-31 20:00:00',1,36401.47),
(28,'2024-08-31 20:00:00','Cordoba Luthier C10 CD全单古典吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/classicalguitar/Cordoba Luthier C10 CD全单古典吉他.jpg','classicalguitar','Cordoba','Cordoba Luthier C10 CD全单古典吉他','2024-08-31 20:00:00',1,70961.14),
(29,'2024-08-31 20:00:00','Cordoba Luthier C12 SP琴师系列全单古典吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/classicalguitar/Cordoba Luthier C12 SP琴师系列全单古典吉他.jpg','classicalguitar','Cordoba','Cordoba Luthier C12 SP琴师系列全单古典吉他','2024-08-31 20:00:00',1,88437.41),
(30,'2024-08-31 20:00:00','Cordoba Luthier C9 CD 琴师系列全单古典吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/classicalguitar/Cordoba Luthier C9 CD 琴师系列全单古典吉他.jpg','classicalguitar','Cordoba','Cordoba Luthier C9 CD 琴师系列全单古典吉他','2024-08-31 20:00:00',1,43451.86),
(31,'2024-08-31 20:00:00','Cordoba Luthier Esteso SP 琴师系列全单古典吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/classicalguitar/Cordoba Luthier Esteso SP 琴师系列全单古典吉他.jpg','classicalguitar','Cordoba','Cordoba Luthier Esteso SP 琴师系列全单古典吉他','2024-08-31 20:00:00',1,71931.87),
(32,'2024-08-31 20:00:00','Cordoba Matiz C1 Aqua 尼龙结他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/classicalguitar/Cordoba Matiz C1 Aqua 尼龙结他.jpg','classicalguitar','Cordoba','Cordoba Matiz C1 Aqua 尼龙结他','2024-08-31 20:00:00',1,37764.4),
